,Name,Season,Place,SVC,GNB,RFC,RFR,NN
32,Farrah Moan,9,8,4,7,5,6,3
33,Gia Gunn,6,10,10,10,9,10,6
41,Jasmine Masters,7,12,9,7,10,9,10
60,Latrice Royale,4,4,3,6,3,3,6
64,Manila Luzon,3,2,1,1,1,1,1
73,Monet x Change,10,6,5,5,4,7,6
75,Monique Heart,10,8,6,7,8,8,9
79,Naomi Smalls,8,3,6,1,5,4,3
114,Trinity Taylor,9,4,2,1,1,2,2
117,Valentina,9,7,6,1,5,5,5
